pinyin,音调,字,,,,,
te,4,特,ter,t,tte,,
teng,2,藤,ten,,,,
ti,2,缇,ti,,,,
ting,1,汀,ten,,,,
ting,2,廷,tium,,,,
tong,1,通,tur,,,,
tu,2,图,ttu,,,,
tuo,1,托,to,tho,,,
wa,3,瓦,war,,,,
wan,4,万,wan,,,,
wei,1,威,wi,we,ge,,
wei,2,维,wer,wei,,,
wei,3,韦,well,ve,,,
wei,4,卫,vid,,,,
wen,1,温,wain,win,,,
wen,2,文,win,,,,
wo,4,沃,wal,,,,
wu,1,乌,ur,,,,
wu,3,伍,woo,,,,
xi,1,西,ssi,cy,,,
xi,1,希,hi,,,,
xi,1,茜,si,,,,
xia,4,夏,char,,,,
xiang,1,香,cha,,,,
xiao,1,肖,shaw,,,,
xie,1,歇,hy,,,,
xie,4,谢,she,,,,
xin,1,辛,zene,,,,
xin,1,新,si,,,,
xiu,1,修,ssiu,,,,
xiu,1,休,ssiu,,,,
xu,3,许,hy,,,,
xue,1,薛,schro,,,,
xun,4,逊,son,,,,
ya,3,雅,a,,,,
ya,4,亚,a,,,,
ya,4,娅,a,,,,
yang,2,杨,yang,,,,
ye,1,耶,je,,,,
ye,4,叶,e,,,,
yi,1,伊,I,,,,
yin,1,因,in,,,,
yin,1,英,in,,,,
yin,1,茵,in,,,,
ying,3,隐,in,,,,
you,1,优,U,,,,
you,2,尤,jo,,,,
you,2,由,jo,,,,
yu,2,于,hu,,,,
yu,3,雨,hu,,,,
yue,1,约,jo,,,,
zan,4,赞,zhan,,,,
ze,2,泽,ze,,,,
zha,1,扎,za,,,,
zhan,1,詹,Ja,,,,
zhi,1,之,zz,,,,
zhu,1,朱,Ju,,,,
zi,1,兹,z,,,,
zu,3,祖,Zu,,,,
zuo,3,佐,zo,,,,
,,梅,me,,,,
,,华,ward,,,,
